Retailer,Address,CITY,ZIP,County,Game,Year,Month,Winnings
CHARLIE'S FOOD MART,12316 BELLEFONTAINE,SPANISH LAKE,63138,ST. LOUIS COUNTY,TRIPLE PLAY,2016,1,24
WRIGHT BROTHERS STORE,7498 STATE RD Z,FULTON,65251,CALLAWAY,TRIPLE PLAY,2016,1,4
FAST STOP 7,7100 EASTWOOD TRFWY,KANSAS CITY,64129,JACKSON,TRIPLE PLAY,2016,1,4
PHILLIPS 66,1342 PENNSYLVANIA AVE,PAGEDALE,63133,ST. LOUIS COUNTY,TRIPLE PLAY,2016,1,12
PHILLIPS 66,1342 PENNSYLVANIA AVE,PAGEDALE,63133,ST. LOUIS COUNTY,TRIPLE PLAY,2016,4,0
EXPRESS MART,3016 MARTIN LUTHER KING,ST LOUIS,63106,ST. LOUIS CITY,TRIPLE PLAY,2016,1,12
EXPRESS MART,3016 MARTIN LUTHER KING,ST LOUIS,63106,ST. LOUIS CITY,TRIPLE PLAY,2016,2,0
CORNER EXPRESS,211 S HWY 63,LICKING,65542,TEXAS,TRIPLE PLAY,2016,1,8
M & A MARKET,4231E NATURAL BRIDGE AVE,ST LOUIS,63115,ST. LOUIS CITY,TRIPLE PLAY,2016,1,8
TEMP STOP 106,2017 N 7 HWY,PLEASANT HILL,64080,CASS,TRIPLE PLAY,2016,1,10
LARIMORE LIQUOR,11048 LARIMORE RD,ST LOUIS,63138,ST. LOUIS COUNTY,TRIPLE PLAY,2016,1,0
ON THE RUN 602,1789 CLARKSON RD,CHESTERFIELD,63017,ST. LOUIS COUNTY,TRIPLE PLAY,2016,1,14
ON THE RUN 602,1789 CLARKSON RD,CHESTERFIELD,63017,ST. LOUIS COUNTY,TRIPLE PLAY,2016,2,0
ON THE RUN 609,16509 MANCHESTER RD,WILDWOOD,63040,ST. LOUIS COUNTY,TRIPLE PLAY,2016,1,16
MOBIL MART 612,14905 CLAYTON RD,CHESTERFIELD,63017,ST. LOUIS COUNTY,TRIPLE PLAY,2016,1,2
SPURGEON'S 66 SERVICE,304 N JEFFERSON ST,ST JAMES,65559,PHELPS,TRIPLE PLAY,2016,1,26
SPURGEON'S 66 SERVICE,304 N JEFFERSON ST,ST JAMES,65559,PHELPS,TRIPLE PLAY,2016,2,0
YEATMAN MKT #2,4300 LEE AVE,ST LOUIS,63115,ST. LOUIS CITY,TRIPLE PLAY,2016,1,0
MEINERS PHILLIPS 66-BS,1005 NE CORONADO DR,BLUE SPRINGS,64014,JACKSON,TRIPLE PLAY,2016,1,50
DISCOVERY MOTOMART,2801 HWY 94 NORTH,ST CHARLES,63301,ST. CHARLES,TRIPLE PLAY,2016,1,30
POUR BOYS 5,510 ST LOUIS AVE,EXCELSIOR SPG,64024,CLAY,TRIPLE PLAY,2016,1,4
TEMP STOP 108,100 SE TODD GEORGE PKWY,LEES SUMMIT,64063,JACKSON,TRIPLE PLAY,2016,1,24
TEMP STOP 110,1101 NE RICE RD,LEES SUMMIT,64086,JACKSON,TRIPLE PLAY,2016,1,216
TEMP STOP 110,1101 NE RICE RD,LEES SUMMIT,64086,JACKSON,TRIPLE PLAY,2016,2,0
MPC 5,3910 JEFFCO BLVD,ARNOLD,63010,JEFFERSON,TRIPLE PLAY,2016,1,78
MPC 7,2110 CHOUTEAU AVE,ST LOUIS,63103,ST. LOUIS CITY,TRIPLE PLAY,2016,1,72
MPC 7,2110 CHOUTEAU AVE,ST LOUIS,63103,ST. LOUIS CITY,TRIPLE PLAY,2016,2,0
DIERBERGS-DEER CREEK,2979 HWY K,OFALLON,63368,ST. CHARLES,TRIPLE PLAY,2016,1,40
DIERBERGS-DEER CREEK,2979 HWY K,OFALLON,63368,ST. CHARLES,TRIPLE PLAY,2016,2,0
DIERBERGS-DEER CREEK,2979 HWY K,OFALLON,63368,ST. CHARLES,TRIPLE PLAY,2016,5,0
DIRT CHEAP CIGS & BEER 12,2060 HAMPTON AVE,ST LOUIS,63139,ST. LOUIS CITY,TRIPLE PLAY,2016,1,26
DIRT CHEAP CIGS & BEER 12,2060 HAMPTON AVE,ST LOUIS,63139,ST. LOUIS CITY,TRIPLE PLAY,2016,2,0
RAPID ROBERT'S 122,4549 HWY 43,JOPLIN,64804,NEWTON,TRIPLE PLAY,2016,1,2
QUIKTRIP 655,290 E 4TH STREET,EUREKA,63025,ST. LOUIS COUNTY,TRIPLE PLAY,2016,1,24
Q-STOP,2 MERLIN DR,TROY,63379,LINCOLN,TRIPLE PLAY,2016,1,30
Q-STOP,2 MERLIN DR,TROY,63379,LINCOLN,TRIPLE PLAY,2016,2,0
RC'S BACKDOOR BAR/GRILL,330 E 135TH ST,KANSAS CITY,64145,JACKSON,TRIPLE PLAY,2016,1,4
OLYMPIC LANES,12751 NEW HALLS FERRY,FLORISSANT,63033,ST. LOUIS COUNTY,TRIPLE PLAY,2016,1,8
PHIL-MART,500 S MAIN,SALEM,65560,DENT,TRIPLE PLAY,2016,1,56
PHIL-MART,500 S MAIN,SALEM,65560,DENT,TRIPLE PLAY,2016,2,0
BREAK TIME 3045,1940 W MAIN,JEFFERSON CITY,65109,COLE,TRIPLE PLAY,2016,1,26
BREAK TIME 3066,221 S MORLEY,MOBERLY,65270,RANDOLPH,TRIPLE PLAY,2016,1,34
BREAK TIME 3066,221 S MORLEY,MOBERLY,65270,RANDOLPH,TRIPLE PLAY,2016,2,0
QUIKTRIP 654,1140 W PEARCE BLVD,WENTZVILLE,63385,ST. CHARLES,TRIPLE PLAY,2016,1,26
QUIKTRIP 654,1140 W PEARCE BLVD,WENTZVILLE,63385,ST. CHARLES,TRIPLE PLAY,2016,2,0
U-GAS TOWNE SOUTH 222,5245 TOWNE SOUTH RD,ST LOUIS,63128,ST. LOUIS COUNTY,TRIPLE PLAY,2016,1,16
U-GAS TOWNE SOUTH 222,5245 TOWNE SOUTH RD,ST LOUIS,63128,ST. LOUIS COUNTY,TRIPLE PLAY,2016,4,0
BREAK TIME 3058,1305 N MISSOURI,MACON,63552,MACON,TRIPLE PLAY,2016,1,36
BREAK TIME 3058,1305 N MISSOURI,MACON,63552,MACON,TRIPLE PLAY,2016,3,0
STOP 'N SPOT THE,350 2ND ST,SUMMERSVILLE,65571,TEXAS,TRIPLE PLAY,2016,1,12
STOP 'N SPOT THE,350 2ND ST,SUMMERSVILLE,65571,TEXAS,TRIPLE PLAY,2016,2,0
PUMP N PETES 16A,208 N 14TH ST,RICH HILL,64779,BATES,TRIPLE PLAY,2016,1,0
SHOP N SAVE 4531,4660 CHIPPEWA ST,ST LOUIS,63116,ST. LOUIS CITY,TRIPLE PLAY,2016,1,60
SHOP N SAVE 4531,4660 CHIPPEWA ST,ST LOUIS,63116,ST. LOUIS CITY,TRIPLE PLAY,2016,2,0
BEVERAGE SHOPPE THE,14575 US 63,THAYER,65791,OREGON,TRIPLE PLAY,2016,1,0
ON THE RUN 613,5840 S LINDBERGH,ST LOUIS,63123,ST. LOUIS COUNTY,TRIPLE PLAY,2016,1,34
ON THE RUN 613,5840 S LINDBERGH,ST LOUIS,63123,ST. LOUIS COUNTY,TRIPLE PLAY,2016,2,0
AMERIMART 7,1320 W CAPE ROCK DR,CAPE GIRARDEAU,63701,CAPE GIRARDEAU,TRIPLE PLAY,2016,1,4
TREXMART 6,18310 STATE ROUTE 45 N,WESTON,64098,PLATTE,TRIPLE PLAY,2016,1,12
FASTLANE ASHLAND,602 EAST BROADWAY,ASHLAND,65010,BOONE,TRIPLE PLAY,2016,1,8
FASTLANE ASHLAND,602 EAST BROADWAY,ASHLAND,65010,BOONE,TRIPLE PLAY,2016,2,0
HICKS STORE,115 S MAIN ST,BELLFLOWER,63333,MONTGOMERY,TRIPLE PLAY,2016,1,6
JAHNEL HWY PKG,1110 E INDUSTRIAL RD,MT VERNON,65712,LAWRENCE,TRIPLE PLAY,2016,1,0
54 PACKAGE STORE,1295 E HWY 54,VANDALIA,63382,AUDRAIN,TRIPLE PLAY,2016,1,14
WEST QUINCY SHELL,8556 HWY 24,TAYLOR,63471,MARION,TRIPLE PLAY,2016,1,0
CHEROKEE PASS MOBIL,6726 HWY 67,FREDERICKTOWN,63645,MADISON,TRIPLE PLAY,2016,1,34
CHEROKEE PASS MOBIL,6726 HWY 67,FREDERICKTOWN,63645,MADISON,TRIPLE PLAY,2016,2,0
BOTTLE HOUSE,12354 NATURAL BRIDGE RD,BRIDGETON,63044,ST. LOUIS COUNTY,TRIPLE PLAY,2016,1,80
BOTTLE HOUSE,12354 NATURAL BRIDGE RD,BRIDGETON,63044,ST. LOUIS COUNTY,TRIPLE PLAY,2016,2,0
REGAL MEAT MARKET,5791 THEKLA AVE,ST LOUIS,63120,ST. LOUIS CITY,TRIPLE PLAY,2016,1,6
CHAMPION EXPRESS,1840 S JEFFERSON,LEBANON,65536,LACLEDE,TRIPLE PLAY,2016,1,32
AMERIMART 21,402 W MAIN,MARBLE HILL,63764,BOLLINGER,TRIPLE PLAY,2016,1,0
PRICE CHOPPER 36,6475 N PROSPECT AVE,GLADSTONE,64119,CLAY,TRIPLE PLAY,2016,1,26
PRICE CHOPPER 36,6475 N PROSPECT AVE,GLADSTONE,64119,CLAY,TRIPLE PLAY,2016,2,0
QUIKTRIP 650R,7400 N LINDBERGH BLVD,HAZELWOOD,63042,ST. LOUIS COUNTY,TRIPLE PLAY,2016,1,162
QUIKTRIP 650R,7400 N LINDBERGH BLVD,HAZELWOOD,63042,ST. LOUIS COUNTY,TRIPLE PLAY,2016,2,0
SHOAT'S,304 E US HWY 136,ALBANY,64402,GENTRY,TRIPLE PLAY,2016,1,22
RED X,2401 NW PLATTE RD,RIVERSIDE,64150,PLATTE,TRIPLE PLAY,2016,1,346
RED X,2401 NW PLATTE RD,RIVERSIDE,64150,PLATTE,TRIPLE PLAY,2016,2,0
RED X,2401 NW PLATTE RD,RIVERSIDE,64150,PLATTE,TRIPLE PLAY,2016,3,0
RED X,2401 NW PLATTE RD,RIVERSIDE,64150,PLATTE,TRIPLE PLAY,2016,6,0
RUDY'S DISCOUNT SMOKE,303 N MISSOURI ST,MACON,63552,MACON,TRIPLE PLAY,2016,1,8
ON THE RUN 250,122 ST ROBERTS BLVD,ST ROBERT,65584,PULASKI,TRIPLE PLAY,2016,1,70
ON THE RUN 250,122 ST ROBERTS BLVD,ST ROBERT,65584,PULASKI,TRIPLE PLAY,2016,2,0
PETE'S SHUR SAV MARKET,7434 OLIVE ST RD,UNIVERSITY CITY,63130,ST. LOUIS COUNTY,TRIPLE PLAY,2016,1,90
TREX MART 5,3927 FREDRICK AVE,ST JOSEPH,64506,BUCHANAN,TRIPLE PLAY,2016,1,0
ON THE RUN 624,9950 BIG BEND BLVD,ST LOUIS,63122,ST. LOUIS COUNTY,TRIPLE PLAY,2016,1,34
ON THE RUN 624,9950 BIG BEND BLVD,ST LOUIS,63122,ST. LOUIS COUNTY,TRIPLE PLAY,2016,2,0
MURPHY USA 5792,1224 SOUTH MADISON,WEBB CITY,64870,JASPER,TRIPLE PLAY,2016,1,12
SHOP EAZY VII,6510 NE 69 HWY,PLEASANT VALLEY,64068,CLAY,TRIPLE PLAY,2016,1,6
SHOP EAZY VII,6510 NE 69 HWY,PLEASANT VALLEY,64068,CLAY,TRIPLE PLAY,2016,5,0
DISCOUNT SMOKE SHOP 34,8051 WATSON RD,WEBSTER GROVES,63119,ST. LOUIS COUNTY,TRIPLE PLAY,2016,1,88
ZX HANLEY,8536 NATURAL BRIDGE RD,ST LOUIS,63121,ST. LOUIS COUNTY,TRIPLE PLAY,2016,1,0
QUIKTRIP 614,10793 PAGE AVE,ST LOUIS,63132,ST. LOUIS COUNTY,TRIPLE PLAY,2016,1,104
QUIKTRIP 614,10793 PAGE AVE,ST LOUIS,63132,ST. LOUIS COUNTY,TRIPLE PLAY,2016,2,0
QUIKTRIP 614,10793 PAGE AVE,ST LOUIS,63132,ST. LOUIS COUNTY,TRIPLE PLAY,2016,3,0
EXPRESS MART OF LONGVIEW,7007 LONGVIEW RD,KANSAS CITY,64134,JACKSON,TRIPLE PLAY,2016,1,0
WESTLAND TRAVEL CENTER 45,3296 GOLD AVE,KINGDOM CITY,65262,CALLAWAY,TRIPLE PLAY,2016,1,4
B & B SUPERMARKET,954 GOODFELLOW BLVD,ST LOUIS,63112,ST. LOUIS CITY,TRIPLE PLAY,2016,1,6
HY-VEE GAS 1077,1230 WASHINGTON ST,CHILLICOTHE,64601,LIVINGSTON,TRIPLE PLAY,2016,1,12
HY-VEE GAS 1077,1230 WASHINGTON ST,CHILLICOTHE,64601,LIVINGSTON,TRIPLE PLAY,2016,2,0
DAD'S BOTTLE SHOP,1401 LAKE ST LOUIS RD,LAKE ST LOUIS,63367,ST. CHARLES,TRIPLE PLAY,2016,1,12
DAD'S BOTTLE SHOP,1401 LAKE ST LOUIS RD,LAKE ST LOUIS,63367,ST. CHARLES,TRIPLE PLAY,2016,3,0
BI RITE LIQUORS,12818 S 71 HWY,GRANDVIEW,64030,JACKSON,TRIPLE PLAY,2016,1,0
D MART MOBIL 7,4517 N HIGH ST,JACKSON,63755,CAPE GIRARDEAU,TRIPLE PLAY,2016,1,0
TWIN OAKS 1 STOP,1130 LYNN ST,LEBANON,65536,LACLEDE,TRIPLE PLAY,2016,1,64
TWIN OAKS 1 STOP,1130 LYNN ST,LEBANON,65536,LACLEDE,TRIPLE PLAY,2016,2,0
NASHUA GENERAL STORE,11103 N NASHUA DR,KANSAS CITY,64155,CLAY,TRIPLE PLAY,2016,1,20
SCHNUCKS MARKET 127,3900 VOGEL RD,ARNOLD,63010,JEFFERSON,TRIPLE PLAY,2016,1,82
SCHNUCKS MARKET 127,3900 VOGEL RD,ARNOLD,63010,JEFFERSON,TRIPLE PLAY,2016,2,0
SCHNUCKS MARKET 127,3900 VOGEL RD,ARNOLD,63010,JEFFERSON,TRIPLE PLAY,2016,5,0
DIERBERGS-FENTON,450 OLD SMIZER MILL ROAD,FENTON,63026,ST. LOUIS COUNTY,TRIPLE PLAY,2016,1,52
DIERBERGS-FENTON,450 OLD SMIZER MILL ROAD,FENTON,63026,ST. LOUIS COUNTY,TRIPLE PLAY,2016,2,0
ON THE RUN 300,620 TRUMAN RD,FESTUS,63028,JEFFERSON,TRIPLE PLAY,2016,1,30
ON THE RUN 300,620 TRUMAN RD,FESTUS,63028,JEFFERSON,TRIPLE PLAY,2016,2,0
ON THE RUN 325,1632 HWY Z,PEVELY,63070,JEFFERSON,TRIPLE PLAY,2016,1,14
CONVENIENCE BARN 3,108 S DESLOGE DR,DESLOGE,63601,ST. FRANCOIS,TRIPLE PLAY,2016,1,12
CONVENIENCE BARN 3,108 S DESLOGE DR,DESLOGE,63601,ST. FRANCOIS,TRIPLE PLAY,2016,2,0
CROSSROADS CONVENIENCE,1808 W BROADWAY ST,WEST PLAINS,65775,HOWELL,TRIPLE PLAY,2016,1,34
CROSSROADS CONVENIENCE,1808 W BROADWAY ST,WEST PLAINS,65775,HOWELL,TRIPLE PLAY,2016,2,0
FOOD GIANT 546,11934 STATE HWY 77,CHAFFEE,63740,SCOTT,TRIPLE PLAY,2016,1,8
FOOD GIANT 547,2415 E MALONE,SIKESTON,63801,SCOTT,TRIPLE PLAY,2016,1,0
FOOD GIANT 549,E 117 MAIN ST,STEELE,63877,PEMISCOT,TRIPLE PLAY,2016,1,12
FOOD GIANT 538,700 N MAIN,SIKESTON,63801,SCOTT,TRIPLE PLAY,2016,1,0
FOOD GIANT 538,700 N MAIN,SIKESTON,63801,SCOTT,TRIPLE PLAY,2016,2,0
FOOD GIANT 548,945 E MALONE,SIKESTON,63801,SCOTT,TRIPLE PLAY,2016,1,4
FOOD GIANT 548,945 E MALONE,SIKESTON,63801,SCOTT,TRIPLE PLAY,2016,3,0
FOOD GIANT 545,1120 N KINGSHIGHWAY ST,CAPE GIRARDEAU,63701,CAPE GIRARDEAU,TRIPLE PLAY,2016,1,18
FOOD GIANT 545,1120 N KINGSHIGHWAY ST,CAPE GIRARDEAU,63701,CAPE GIRARDEAU,TRIPLE PLAY,2016,4,0
TESSON FERRY MOBIL,13500 TESSON FERRY RD,ST LOUIS,63128,ST. LOUIS COUNTY,TRIPLE PLAY,2016,1,16
COUNTRY CLUB CAR WASH,1700 FORD LANE,ST CHARLES,63303,ST. CHARLES,TRIPLE PLAY,2016,1,4
COUNTRY CLUB CAR WASH,1700 FORD LANE,ST CHARLES,63303,ST. CHARLES,TRIPLE PLAY,2016,2,0
DIRT CHEAP CIGS & BEER 20,1200 BIG BILL ROAD,ARNOLD,63010,JEFFERSON,TRIPLE PLAY,2016,1,4
DISCOUNT CIGS & BEER 100,911 E HWY BUS 60 WEST,DEXTER,63841,STODDARD,TRIPLE PLAY,2016,1,8
QUEEN'S MARKET 2373,48 GANNON SQ,PEVELY,63070,JEFFERSON,TRIPLE PLAY,2016,1,8
QUEEN'S MARKET 2372,10724 BUSINESS 21,HILLSBORO,63050,JEFFERSON,TRIPLE PLAY,2016,1,4
ON THE RUN 625,1000 BOWLES AVE,FENTON,63026,ST. LOUIS COUNTY,TRIPLE PLAY,2016,1,40
ON THE RUN 625,1000 BOWLES AVE,FENTON,63026,ST. LOUIS COUNTY,TRIPLE PLAY,2016,2,0
7-ELEVEN 19470D,12545 BENNINGTON PL,SAINT LOUIS,63146,ST. LOUIS COUNTY,TRIPLE PLAY,2016,1,12
7-ELEVEN 19470D,12545 BENNINGTON PL,SAINT LOUIS,63146,ST. LOUIS COUNTY,TRIPLE PLAY,2016,3,0
ON THE RUN 627,1401 S 5TH ST,ST CHARLES,63301,ST. CHARLES,TRIPLE PLAY,2016,1,22
PUMP 'N PANTRY 2,45 59 HWY,DIAMOND,64840,JASPER,TRIPLE PLAY,2016,1,94
