Retailer,Address,CITY,ZIP,County,Game,Year,Month,Sales
FUEL MART,1317 SW MARKET ST,LEES SUMMIT,64081,JACKSON,TRIPLE PLAY,2016,1,10
UNITED MART BP,7430 NATURAL BRIDGE RD,ST LOUIS,63121,ST. LOUIS COUNTY,TRIPLE PLAY,2016,1,86
RICKY BOBBY'S PIT STOP,3579 SHEPHERD HILLS EXPY,BRANSON,65616,TANEY,TRIPLE PLAY,2016,1,36
VANDEVENTER PHILLIPS 66,733 S VANDEVENTER,ST LOUIS,63110,ST. LOUIS CITY,TRIPLE PLAY,2016,1,44
VANDEVENTER PHILLIPS 66,733 S VANDEVENTER,ST LOUIS,63110,ST. LOUIS CITY,TRIPLE PLAY,2016,2,0
LEACH SERVICE,9720 MANCHESTER RD,ST LOUIS,63119,ST. LOUIS COUNTY,TRIPLE PLAY,2016,1,6
LILLIAN MARKET,5200 HAMILTON AVE,JENNINGS,63136,ST. LOUIS COUNTY,TRIPLE PLAY,2016,1,30
DISCOUNT SMOKES,13011 STATE LINE RD,KANSAS CITY,64145,JACKSON,TRIPLE PLAY,2016,1,6
QUIKTRIP 676R,10768 W FLORISSANT AVE,FERGUSON,63136,ST. LOUIS COUNTY,TRIPLE PLAY,2016,1,208
QUIKTRIP 676R,10768 W FLORISSANT AVE,FERGUSON,63136,ST. LOUIS COUNTY,TRIPLE PLAY,2016,2,0
DISCOUNT TOBACCO SHOP,11100 E 40 HIGHWAY,INDEPENDENCE,64055,JACKSON,TRIPLE PLAY,2016,1,22
PANTRY THE,164 FALL CREEK DR,BRANSON,65616,TANEY,TRIPLE PLAY,2016,1,8
TANNERS BAR & GRILL,8250 N CHURCH RD,KANSAS CITY,64158,CLAY,TRIPLE PLAY,2016,1,10
QUICK CHEK MARKET,1801 E MALONE AVE,SIKESTON,63801,SCOTT,TRIPLE PLAY,2016,1,36
ISHU INC,300 W ROLLINS ST,MOBERLY,65270,RANDOLPH,TRIPLE PLAY,2016,1,4
RUMORS TAVERN,W 115 SPRING ST,ELDORADO SPGS,64744,CEDAR,TRIPLE PLAY,2016,1,2
BREAK TIME 3140,200 S OLIVE ST,HOLDEN,64040,JOHNSON,TRIPLE PLAY,2016,1,64
BREAK TIME 3140,200 S OLIVE ST,HOLDEN,64040,JOHNSON,TRIPLE PLAY,2016,2,0
GEMINI COLUMN 64,56 ROME CIRCLE GATE 56,KANSAS CITY,64153,PLATTE,TRIPLE PLAY,2016,1,4
PETRO MART 23,1430 S KIRKWOOD RD,SUNSET HILLS,63127,ST. LOUIS COUNTY,TRIPLE PLAY,2016,1,134
UNITED MART 3,9653 ST CHARLES ROCK RD,BRECKNRDG HLS,63114,ST. LOUIS COUNTY,TRIPLE PLAY,2016,1,6
EZ CENTER,1901 W 76 COUNTRY BLVD,BRANSON,65616,TANEY,TRIPLE PLAY,2016,1,12
CROSSROADS EAGLE STOP,2785 W STATE HWY O,SPRINGFIELD,65803,GREENE,TRIPLE PLAY,2016,1,22
CROSSROADS EAGLE STOP,2785 W STATE HWY O,SPRINGFIELD,65803,GREENE,TRIPLE PLAY,2016,3,0
7TH HEAVEN,306 W BOURKE ST,MACON,63552,MACON,TRIPLE PLAY,2016,1,4
7TH HEAVEN,1702 N MISSOURI ST,MACON,63552,MACON,TRIPLE PLAY,2016,1,16
7TH HEAVEN,1202 S MISSOURI ST,MACON,63552,MACON,TRIPLE PLAY,2016,1,2
LOVES TRAVEL STOP 488,8349 ENTERPRISE DR,BLOOMSDALE,63627,ST. GENEVIEVE,TRIPLE PLAY,2016,1,18
LOVES TRAVEL STOP 500,21022 STATE HIGHWAY N,EAGLEVILLE,64442,HARRISON,TRIPLE PLAY,2016,1,14
LOVES TRAVEL STOP 461,6124 N BROADWAY ST,ST LOUIS,63147,ST. LOUIS COUNTY,TRIPLE PLAY,2016,1,24
PHILLIPS 66,1901 E MECHANIC ST,HARRISONVILLE,64701,CASS,TRIPLE PLAY,2016,1,2
U GAS 7 TRAILS 233,14807 MANCHESTER RD,BALLWIN,63011,ST. LOUIS COUNTY,TRIPLE PLAY,2016,1,106
U GAS 7 TRAILS 233,14807 MANCHESTER RD,BALLWIN,63011,ST. LOUIS COUNTY,TRIPLE PLAY,2016,2,0
RHODES FAMILY PRICE CHOPPER,2210 W HWY 76,BRANSON,65616,TANEY,TRIPLE PLAY,2016,1,38
FOOD FAIR SUPERMARKET,309 W 4TH ST,APPLETON CITY,64724,ST. CLAIR,TRIPLE PLAY,2016,1,144
FOOD FAIR SUPERMARKET,309 W 4TH ST,APPLETON CITY,64724,ST. CLAIR,TRIPLE PLAY,2016,2,0
ALPS DISCOUNT LIQUOR & SMOKES,2602 S MAIN ST,JOPLIN,64804,JASPER,TRIPLE PLAY,2016,1,6
MIDLAND MOBIL,11070 MIDLAND BLVD,ST LOUIS,63114,ST. LOUIS COUNTY,TRIPLE PLAY,2016,1,56
7-ELEVEN 25702K,8290 ST CHARLES RK RD,CHARLACK,63114,ST. LOUIS COUNTY,TRIPLE PLAY,2016,1,28
AMERICAN LEGION 624,852 AMERICAN LEGION RD,SUNRISE BEACH,65079,CAMDEN,TRIPLE PLAY,2016,1,20
HWY 7 GENERAL STORE,12416 STATE ROUTE 7,LAKE LOTAWANA,64086,JACKSON,TRIPLE PLAY,2016,1,20
AMVETS POST 178,3375 W FARM RD 34,BRIGHTON,65617,GREENE,TRIPLE PLAY,2016,1,34
TOLSON DRUG,226 E HIGH ST,JEFFERSON CITY,65101,COLE,TRIPLE PLAY,2016,1,4
CONCORDIA EAGLE STOP,201 N MAIN ST,CONCORDIA,64020,LAFAYETTE,TRIPLE PLAY,2016,1,16
CROWN MART 15,3868 DR MARTIN LUTHER KI,ST LOUIS,63113,ST. LOUIS CITY,TRIPLE PLAY,2016,1,36
CASEYS 3266,114 N PEARL ST,MILAN,63556,SULLIVAN,TRIPLE PLAY,2016,1,42
CASEYS 3266,114 N PEARL ST,MILAN,63556,SULLIVAN,TRIPLE PLAY,2016,2,0
BELLEFONTAINE CONOCO,10320 BELLEFONTAINE RD,ST LOUIS,63137,ST. LOUIS COUNTY,TRIPLE PLAY,2016,1,92
CAMERON MARKET THE,1303 N WALNUT ST,CAMERON,64429,DEKALB,TRIPLE PLAY,2016,1,26
QUICK CHECK II,206 E CENTER ST,SIKESTON,63801,SCOTT,TRIPLE PLAY,2016,1,12
MACADOODLES,455 E GREEN MEADOWS RD,COLUMBIA,65201,BOONE,TRIPLE PLAY,2016,1,6
DELLWOOD MOBIL MART,9995 W FLORISSANT AVE,ST LOUIS,63136,ST. LOUIS COUNTY,TRIPLE PLAY,2016,1,62
CASES CORNER,1559 E HWY 215,BRIGHTON,65617,POLK,TRIPLE PLAY,2016,1,24
NATURAL BRIDGE MOBIL,5750 NATURAL BRIDGE AVE,ST LOUIS,63120,ST. LOUIS CITY,TRIPLE PLAY,2016,1,26
BRAYMER QUICK SHOP,503 SE HWY 116,BRAYMER,64624,CALDWELL,TRIPLE PLAY,2016,1,8
XTRA MILE,6417 NW 72ND ST,KANSAS CITY,64151,PLATTE,TRIPLE PLAY,2016,1,22
VALERO,6509 RAYTOWN RD,RAYTOWN,64133,JACKSON,TRIPLE PLAY,2016,1,82
VALERO,6509 RAYTOWN RD,RAYTOWN,64133,JACKSON,TRIPLE PLAY,2016,2,0
CORNER SPIRITS,1228 BRYAN RD,OFALLON,63366,ST. CHARLES,TRIPLE PLAY,2016,1,20
DIRT CHEAP CIGS & BEER,15221 MANCHESTER RD,BALLWIN,63011,ST. LOUIS COUNTY,TRIPLE PLAY,2016,1,52
DIRT CHEAP CIGS & BEER,15221 MANCHESTER RD,BALLWIN,63011,ST. LOUIS COUNTY,TRIPLE PLAY,2016,2,0
DIRT CHEAP CIGS & BEER,15221 MANCHESTER RD,BALLWIN,63011,ST. LOUIS COUNTY,TRIPLE PLAY,2016,4,0
DIRT CHEAP CIGS & BEER,15221 MANCHESTER RD,BALLWIN,63011,ST. LOUIS COUNTY,TRIPLE PLAY,2016,5,0
HY-VEE GAS,205 NORTH BELT HWY,ST JOSEPH,64506,BUCHANAN,TRIPLE PLAY,2016,1,44
HY-VEE GAS,205 NORTH BELT HWY,ST JOSEPH,64506,BUCHANAN,TRIPLE PLAY,2016,2,0
MEMORY LANES,1616 N MORLEY ST,MOBERLY,65270,RANDOLPH,TRIPLE PLAY,2016,1,2
CONOCO GAS STATION,4402 JENNINGS STATION RD,ST LOUIS,63121,ST. LOUIS COUNTY,TRIPLE PLAY,2016,1,10
